Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
268280,KR7268280005,미원에스씨,KOSPI,,142800,1,200,0.14,142600,142900,141700,1082,153991800,728280000000,5100000,STK
005880,KR7005880000,대한해운,KOSPI,,2280,1,10,0.44,2270,2290,2215,767276,1731513760,727724608800,319177460,STK
214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,71800,2,-100,-0.14,71700,73100,70300,55478,3959247600,726036574000,10111930,KSQ
200130,KR7200130003,콜마비앤에이치,KOSDAQ GLOBAL,우량기업부,24500,2,-50,-0.2,24550,24800,23850,104301,2535063650,723817171000,29543558,KSQ
402030,KR7402030001,코난테크놀로지,KOSDAQ,기술성장기업부,126400,1,8500,7.21,115300,128600,110000,460907,55531884700,718008121600,5680444,KSQ
005250,KR7005250006,녹십자홀딩스,KOSPI,,15250,2,-280,-1.8,15520,15680,15040,63536,966085600,717180202500,47028210,STK
034120,KR7034120006,SBS,KOSPI,,38950,2,-2200,-5.35,39800,40750,37900,195982,7616367800,710938068900,18252582,STK
108860,KR7108860008,셀바스AI,KOSDAQ,벤처기업부,31550,1,450,1.45,30500,31550,29600,3539574,109366263050,710198703000,22510260,KSQ
005440,KR7005440003,현대그린푸드,KOSPI,,7250,0,0,0.0,0,0,0,0,0,708357494500,97704482,STK
064960,KR7064960008,SNT모티브,KOSPI,,48400,1,200,0.41,47950,48700,47050,25289,1207829700,707759782400,14623136,STK
010050,KR7010050003,우리종금,KOSPI,,798,3,0,0.0,782,805,740,1401574,1099501734,697614317988,874203406,STK
086450,KR7086450004,동국제약,KOSDAQ GLOBAL,우량기업부,15540,1,90,0.58,15350,15550,15100,78702,1206649370,690908400000,44460000,KSQ
039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,18770,2,-90,-0.48,18860,19030,18220,132141,2457493700,689664439470,36742911,KSQ
192650,KR7192650000,드림텍,KOSPI,,10180,2,-20,-0.2,10110,10210,9820,301728,3023056380,686599363800,67445910,STK
144510,KR7144510005,지씨셀,KOSDAQ,우량기업부,43200,2,-300,-0.69,42800,43400,41750,74359,3156116250,682574860800,15800344,KSQ
178320,KR7178320008,서진시스템,KOSDAQ,우량기업부,18100,2,-470,-2.53,18530,18660,18000,457922,8332372450,680209620200,37580642,KSQ
001680,KR7001680008,대상,KOSPI,,19530,2,-200,-1.01,19600,19620,19240,141213,2741826890,676675928250,34648025,STK
105630,KR7105630008,한세실업,KOSPI,,16880,2,-360,-2.09,17350,17350,16640,147094,2478915050,675200000000,40000000,STK
299900,KR7299900001,위지윅스튜디오,KOSDAQ,중견기업부,15700,2,-150,-0.95,15660,15840,15300,272059,4239319250,671366869700,42762221,KSQ
298040,KR7298040007,효성중공업,KOSPI,,71900,2,-1400,-1.91,73000,73000,70000,61604,4390207500,670435001200,9324548,STK
377740,KR7377740006,바이오노트,KOSPI,,6580,1,10,0.15,6500,6580,6340,602453,3873512020,670344395840,101876048,STK
000070,KR7000070003,삼양홀딩스,KOSPI,,77900,2,-1600,-2.01,78500,79100,76300,12203,943061600,667156710900,8564271,STK
082640,KR7082640004,동양생명,KOSPI,,4105,2,-95,-2.26,4100,4165,4010,129488,527084110,662376991425,161358585,STK
036540,KR7036540003,SFA반도체,KOSDAQ,우량기업부,4020,1,20,0.5,3930,4040,3920,695823,2768445440,661130418060,164460303,KSQ
222080,KR7222080004,씨아이에스,KOSDAQ,중견기업부,10650,1,210,2.01,10340,10850,10200,1374725,14469738970,658668547800,61846812,KSQ
101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,30600,3,0,0.0,30500,31200,30150,231377,7086898550,656414278200,21451447,KSQ
205470,KR7205470008,휴마시스,KOSDAQ,우량기업부,19350,1,2020,11.66,19000,21500,18980,14716260,303172900450,656164982250,33910335,KSQ
383800,KR7383800000,LX홀딩스,KOSPI,,8590,1,70,0.82,8500,8590,8440,181033,1538126890,655251127100,76280690,STK
003540,KR7003540002,대신증권,KOSPI,,12860,1,80,0.63,12700,12980,12610,66510,845095510,652945924000,50773400,STK
053800,KR7053800009,안랩,KOSDAQ,우량기업부,65100,3,0,0.0,64200,65400,63500,159776,10325701500,651901960500,10013855,KSQ
287410,KR7287410005,제이시스메디칼,KOSDAQ,벤처기업부,8660,3,0,0.0,8620,8810,8390,478299,4113916090,642048537640,74139554,KSQ
119860,KR7119860005,커넥트웨이브,KOSDAQ,우량기업부,13200,1,20,0.15,13100,13320,12810,167064,2177062600,636147230400,48192972,KSQ
403550,KR7403550007,쏘카,KOSPI,,19340,1,40,0.21,19110,19440,18910,55871,1069102680,633524286680,32757202,STK
950210,KR8702070002,프레스티지바이오파마,KOSPI,,10490,2,-360,-3.32,10720,10850,10250,65866,691531880,630408665950,60096155,STK
085370,KR7085370005,루트로닉,KOSDAQ,중견기업부,23850,2,-200,-0.83,23800,24600,23400,414803,9937272250,630318914100,26428466,KSQ
344820,KR7344820006,KCC글라스,KOSPI,,38750,2,-800,-2.02,39300,39300,38000,52531,2020662850,618857340000,15970512,STK
284740,KR7284740008,쿠쿠홈시스,KOSPI,,27550,2,-1450,-5.0,28800,29000,27500,84002,2337277900,618148441500,22437330,STK
001530,KR7001530005,DI동일,KOSPI,,24150,2,-250,-1.02,24550,25300,22950,1024632,25002757450,617473720500,25568270,STK
